"idsite","occ1","occ2","occ3","occ4","effort","altitude","foret","X","Y"
259,0,0,0,0,0.431625763135711,-0.0677421984674771,1.5240162865956,695000,6155000
260,0,0,0,0,-0.0139523043702497,-0.460944934748326,0.0122384557100481,705000,6155000
261,0,0,0,0,-0.256994886646228,-0.82554468576276,-1.25499708283751,715000,6155000
262,0,0,0,0,-0.500037468922207,-1.02721033479338,-1.25499708283751,725000,6155000
263,0,0,0,0,-0.702572954152189,-1.02721033479338,-1.25499708283751,735000,6155000
304,0,0,0,0,-0.783587148244182,1.78412870361758,-1.25499708283751,545000,6165000
305,0,0,0,0,-0.783587148244182,1.73717407432967,-1.25499708283751,555000,6165000
306,0,0,0,0,-0.702572954152189,2.57505893545752,-1.1426701197571,565000,6165000
307,0,0,0,0,-0.662065857106192,2.7550376518228,-0.636476791813944,575000,6165000
308,0,0,0,0,-0.702572954152189,2.93660302409749,-0.852852314996701,585000,6165000
309,0,0,0,0,-0.45953037187621,3.24179550104269,-0.815498085492891,595000,6165000
310,1,1,0,0,0.229090277905729,2.95933676020755,-0.373388368596111,605000,6165000
311,2,0,0,0,0.796189636549679,3.3176892500249,-0.690707718211222,615000,6165000
312,0,0,1,0,1.32278189814763,2.30587963414821,1.70145388608462,625000,6165000
313,0,1,2,0,1.48481028633162,1.79735601021547,0.843023137602644,635000,6165000
314,2,0,0,0,2.17343093611356,0.66911425733085,0.757063502431012,645000,6165000
315,0,0,0,0,1.93038835383758,0.472484389113465,1.19526040659823,655000,6165000
316,0,0,0,0,1.48481028633162,0.325422246001775,1.53668664834559,665000,6165000
317,0,0,0,0,1.16075350996365,-0.323441898178064,1.06366133633715,675000,6165000
318,0,0,0,0,0.958218024733664,-0.815358323537495,-1.06954154952031,685000,6165000
319,0,0,0,0,0.512639957227704,-0.973579191390528,-1.2014308966443,695000,6165000
320,0,0,0,0,0.10756898676774,-1.0156365706935,-1.22932205495444,705000,6165000
321,0,0,0,0,-0.135473595508239,-1.02721033479338,-1.25499708283751,715000,6165000
322,0,0,0,0,-0.378516177784217,-1.02721033479338,-1.25499708283751,725000,6165000
323,0,0,0,0,-0.702572954152189,-1.02721033479338,-1.25499708283751,735000,6165000
324,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,745000,6165000
362,0,0,0,0,-0.783587148244182,2.29324401568207,-1.25499708283751,525000,6175000
363,0,0,0,0,-0.783587148244182,2.96854531592912,-1.25499708283751,535000,6175000
364,0,0,0,0,-0.743080051198185,2.11980756859556,-1.16747310049601,545000,6175000
365,0,0,0,0,-0.702572954152189,2.7238258911791,-1.20053355019846,555000,6175000
366,0,0,0,0,-0.702572954152189,3.2217649800607,-1.14885419518564,565000,6175000
367,0,0,0,0,-0.621558760060196,3.07343258702059,-1.05523918496374,575000,6175000
368,0,0,0,0,-0.419023274830214,3.04995998545041,-1.04303172045337,585000,6175000
369,0,0,0,0,-0.175980692554235,2.70060078917592,-0.668810797957251,595000,6175000
370,0,0,0,0,0.269597374951725,1.98353318361759,1.10891713130047,605000,6175000
371,0,0,0,0,0.877203830641671,2.59835494795434,0.187564822159442,615000,6175000
372,0,0,0,0,1.24176770405564,2.03086664326023,1.73501404540493,625000,6175000
373,0,0,0,1,1.36328899519363,2.34886126545695,1.50286031174675,635000,6175000
374,0,0,0,2,1.80886706269959,1.11867349680993,0.645449011465112,645000,6175000
375,0,0,0,0,1.80886706269959,0.211717210411848,-0.632279987056324,655000,6175000
376,0,0,0,0,1.24176770405564,-0.384506756505722,-0.722194429272586,665000,6175000
377,0,0,0,0,0.917710927687668,-0.740925556715612,-0.799614737686547,675000,6175000
378,0,0,0,0,0.796189636549679,-0.903927296399778,-1.25499708283751,685000,6175000
379,0,0,0,0,0.472132860181707,-0.979860956430707,-1.25499708283751,695000,6175000
380,0,0,0,0,0.0670618897217431,-1.02281471057126,-1.23961891809611,705000,6175000
381,0,0,0,0,-0.135473595508239,-1.02721033479338,-1.25499708283751,715000,6175000
382,0,0,0,0,-0.378516177784217,-1.02721033479338,-1.25499708283751,725000,6175000
383,0,0,0,0,-0.662065857106192,-1.02721033479338,-1.25499708283751,735000,6175000
384,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,745000,6175000
422,0,0,0,0,-0.783587148244182,2.55016126060253,-1.25499708283751,525000,6185000
423,0,0,0,0,-0.702572954152189,3.04215384429365,-0.73883687399634,535000,6185000
424,0,0,0,0,-0.662065857106192,2.56339857200164,-0.284850343096427,545000,6185000
425,0,0,0,0,-0.621558760060196,2.12260504057677,0.540568563176691,555000,6185000
426,0,0,0,0,-0.5810516630142,2.38772298061999,-0.205511800375531,565000,6185000
427,0,0,0,0,-0.419023274830214,1.64797054489894,0.611467764000737,575000,6185000
428,0,0,0,0,-0.0949664984622425,1.46189483245314,0.907894554590963,585000,6185000
429,0,0,0,0,0.0670618897217431,1.09828436838315,1.50352494671246,595000,6185000
430,0,0,0,0,0.391118666089714,1.38815265358859,0.901875795996967,605000,6185000
431,0,0,0,0,0.593654151319696,1.86579584496783,1.19920457193993,615000,6185000
432,0,0,0,0,0.958218024733664,1.12989644358343,1.07292850842892,625000,6185000
433,0,0,0,0,1.16075350996365,0.908535776041117,2.32491893193615,635000,6185000
434,0,0,0,0,1.40379609223962,0.697097462410392,2.00821377022662,645000,6185000
435,0,0,0,0,1.28227480110164,0.00574442925148664,1.15439034029594,655000,6185000
436,0,0,0,0,0.917710927687668,-0.42827531483032,0.168887421159198,665000,6185000
437,0,0,0,0,0.634161248365693,-0.673797474746529,-0.970820980256762,675000,6185000
438,0,0,0,0,0.5531470542737,-0.854935050885223,-1.13857381342349,685000,6185000
439,0,0,0,0,0.431625763135711,-1.0039152822795,-1.25499708283751,695000,6185000
440,0,0,0,0,0.0670618897217431,-1.02323997923249,-1.25373075465357,705000,6185000
441,0,0,0,0,-0.135473595508239,-1.02721033479338,-1.25499708283751,715000,6185000
442,0,0,0,0,-0.45953037187621,-1.02721033479338,-1.25499708283751,725000,6185000
443,0,0,0,0,-0.662065857106192,-1.02721033479338,-1.25499708283751,735000,6185000
444,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,745000,6185000
464,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,945000,6185000
465,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,955000,6185000
466,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,965000,6185000
482,0,0,0,0,-0.540544565968203,2.4870866554493,-0.188393139445349,525000,6195000
483,0,0,0,0,-0.45953037187621,1.70138050914208,0.947997475346091,535000,6195000
484,0,0,1,0,-0.662065857106192,1.84271930922042,0.72708986641065,545000,6195000
485,0,0,0,0,-0.621558760060196,0.659718183200091,1.90691526526474,555000,6195000
486,0,0,0,0,-0.419023274830214,1.13309009265808,1.66718787203786,565000,6195000
487,0,0,0,0,-0.0949664984622425,1.70305777943849,0.43370094524617,575000,6195000
488,0,0,0,0,0.148076083813736,0.483402916785721,0.768945031112662,585000,6195000
489,0,0,0,0,0.310104471997722,1.52892467742463,1.33223528800878,595000,6195000
490,0,0,0,0,0.431625763135711,1.29226735844525,1.81931869371222,605000,6195000
491,0,0,0,0,0.350611569043718,0.852525114317933,1.73785282069219,615000,6195000
492,0,0,0,0,0.310104471997722,0.603788696054306,1.95330931832701,625000,6195000
493,0,0,0,0,0.310104471997722,0.055730689371631,1.57084920887519,635000,6195000
494,0,0,0,0,0.634161248365693,0.233219615662214,1.73238702653561,645000,6195000
495,0,0,0,0,0.472132860181707,0.045274947481194,1.29190027036554,655000,6195000
496,0,0,0,0,0.269597374951725,-0.252369878879345,0.348496870983061,665000,6195000
497,0,0,0,0,0.10756898676774,-0.512242909781539,-0.817777464174179,675000,6195000
498,0,0,0,0,0.0670618897217431,-0.554290924563752,-0.922704352045987,685000,6195000
499,0,0,0,0,-0.175980692554235,-0.871235473314766,-1.19938812747198,695000,6195000
500,0,0,0,0,-0.256994886646228,-1.02587734075931,-1.24173800823168,705000,6195000
501,0,0,0,0,-0.378516177784217,-1.02721033479338,-1.25499708283751,715000,6195000
502,0,0,0,0,-0.540544565968203,-1.02721033479338,-1.25499708283751,725000,6195000
503,0,0,0,0,-0.743080051198185,-1.02721033479338,-1.25499708283751,735000,6195000
522,0,0,0,0,-0.743080051198185,-1.02721033479338,-1.25499708283751,925000,6195000
523,0,0,0,0,-0.702572954152189,-1.02721033479338,-1.25499708283751,935000,6195000
524,0,0,0,0,-0.702572954152189,-1.02721033479338,-1.25499708283751,945000,6195000
525,0,0,0,0,-0.702572954152189,-1.02721033479338,-1.25499708283751,955000,6195000
526,0,0,0,0,-0.702572954152189,-1.02721033479338,-1.25499708283751,965000,6195000
527,0,0,0,0,-0.743080051198185,-1.02721033479338,-1.25499708283751,975000,6195000
528,0,0,0,0,-0.743080051198185,-1.02721033479338,-1.25499708283751,985000,6195000
542,0,0,0,0,-0.216487789600232,1.12599011528962,2.08072040701455,525000,6205000
543,0,0,0,0,-0.297501983692225,0.613368264745565,1.66652377589255,535000,6205000
544,0,0,0,0,-0.378516177784217,0.582704639364583,1.14669652377763,545000,6205000
545,0,0,0,0,-0.5810516630142,0.355792935172595,1.67983263981876,555000,6205000
546,0,0,0,0,-0.338009080738221,0.705803620241498,2.11430642971415,565000,6205000
547,0,0,0,0,-0.0139523043702497,0.971477111928239,1.79382359816711,575000,6205000
548,0,0,0,0,0.148076083813736,0.36913040855451,0.765128970321513,585000,6205000
549,0,0,0,0,0.148076083813736,0.229521883972002,1.29712009300867,595000,6205000
550,0,0,0,0,0.310104471997722,0.0852638824147255,0.984706231684736,605000,6205000
551,0,0,0,0,0.350611569043718,-0.00961707650633103,0.974675416378411,615000,6205000
552,0,0,0,0,0.0670618897217431,-0.013557034662491,1.62550337869814,625000,6205000
553,0,0,0,0,0.10756898676774,-0.302447809566015,-0.250480067301901,635000,6205000
554,0,0,0,0,0.188583180859732,-0.142247393041586,1.26464377092672,645000,6205000
555,0,0,0,0,0.188583180859732,0.110990094016074,1.82396440321715,655000,6205000
556,0,0,0,0,-0.0949664984622425,-0.0301452091381347,1.01841631778187,665000,6205000
557,0,0,0,0,-0.297501983692225,-0.293066608014404,0.824801039841981,675000,6205000
558,0,0,0,0,-0.500037468922207,-0.490549735967427,-0.773046412929733,685000,6205000
559,0,0,0,0,-0.419023274830214,-0.691331377451759,-1.20994163224439,695000,6205000
560,0,0,0,0,-0.540544565968203,-1.00215248082779,-1.25499708283751,705000,6205000
561,0,0,0,0,-0.5810516630142,-1.02721033479338,-1.25499708283751,715000,6205000
562,0,0,0,0,-0.662065857106192,-1.02721033479338,-1.25499708283751,725000,6205000
563,0,0,0,0,-0.743080051198185,-1.02721033479338,-1.25499708283751,735000,6205000
580,0,0,0,0,-0.743080051198185,-1.02721033479338,-1.25499708283751,905000,6205000
581,0,0,0,0,-0.743080051198185,-1.02721033479338,-1.25499708283751,915000,6205000
582,0,0,0,0,-0.702572954152189,-1.02721033479338,-1.25499708283751,925000,6205000
583,0,0,0,0,-0.621558760060196,-1.02721033479338,-1.25499708283751,935000,6205000
584,0,0,0,0,-0.540544565968203,-1.02721033479338,-1.25499708283751,945000,6205000
585,0,0,0,0,-0.45953037187621,-1.02721033479338,-1.25499708283751,955000,6205000
586,0,0,0,0,-0.540544565968203,-1.02721033479338,-1.25499708283751,965000,6205000
587,0,0,0,0,-0.5810516630142,-1.02721033479338,-1.25499708283751,975000,6205000
588,0,0,0,0,-0.702572954152189,-1.02721033479338,-1.25499708283751,985000,6205000
589,0,0,0,0,-0.743080051198185,-1.02721033479338,-1.25499708283751,995000,6205000
602,0,0,0,0,-0.175980692554235,0.107899589198681,1.38288898575804,525000,6215000
603,0,0,0,0,-0.0949664984622425,0.0790769377100262,1.60110747677284,535000,6215000
604,0,0,0,0,-0.297501983692225,-0.159741100086624,0.408761777650687,545000,6215000
605,0,0,0,0,-0.419023274830214,-0.0684407658281942,0.249388266839479,555000,6215000
606,0,0,0,0,-0.216487789600232,-0.123310423971311,0.787080244083523,565000,6215000
607,0,0,0,0,0.0265547926757467,-0.0508489414942549,0.820028842247713,575000,6215000
608,0,0,0,0,0.229090277905729,-0.16065154675429,0.717557998796458,585000,6215000
609,0,0,0,0,0.188583180859732,-0.156233869249372,0.863028461483298,595000,6215000
610,0,0,0,0,0.310104471997722,-0.259052701776874,0.464525782796387,605000,6215000
611,0,0,0,0,0.269597374951725,-0.249171816565082,0.834231609220622,615000,6215000
612,0,0,0,0,-0.0139523043702497,-0.197842773159614,1.1854864739185,625000,6215000
613,0,0,0,0,-0.135473595508239,-0.459128885904647,-0.515215260372952,635000,6215000
614,0,0,0,0,-0.216487789600232,-0.154242146819674,1.57009001092896,645000,6215000
615,0,0,0,0,-0.0544594014162461,-0.00922298304575415,1.90476106129806,655000,6215000
616,0,0,0,0,-0.216487789600232,-0.414107033803206,0.598522334435593,665000,6215000
617,0,0,0,0,-0.45953037187621,-0.509711910465994,-0.198499322255386,675000,6215000
618,0,0,0,0,-0.540544565968203,-0.623337255682305,-0.822159050653366,685000,6215000
619,0,0,0,0,-0.621558760060196,-0.884135252726591,-1.16511392588083,695000,6215000
620,0,0,0,0,-0.662065857106192,-1.00075679832093,-1.2388030850742,705000,6215000
621,0,0,0,0,-0.662065857106192,-1.02721033479338,-1.25499708283751,715000,6215000
622,0,0,0,0,-0.743080051198185,-1.02721033479338,-1.25499708283751,725000,6215000
623,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,735000,6215000
639,0,0,0,0,-0.743080051198185,-1.02721033479338,-1.25499708283751,895000,6215000
640,0,0,0,0,-0.743080051198185,-1.02721033479338,-1.25499708283751,905000,6215000
641,0,0,0,0,-0.702572954152189,-1.02721033479338,-1.25499708283751,915000,6215000
642,0,0,0,0,-0.621558760060196,-1.02721033479338,-1.25499708283751,925000,6215000
643,0,0,0,0,-0.419023274830214,-1.02721033479338,-1.25499708283751,935000,6215000
644,0,0,0,0,-0.256994886646228,-1.02721033479338,-1.25499708283751,945000,6215000
645,0,0,0,0,-0.175980692554235,-1.02603828257283,-1.11853391242736,955000,6215000
646,0,0,0,0,-0.135473595508239,-1.00497073899644,-0.875463306988251,965000,6215000
647,0,0,0,0,-0.297501983692225,-0.897663687771831,-0.96778604066695,975000,6215000
648,0,0,0,0,-0.500037468922207,-0.906446257867374,-1.25499708283751,985000,6215000
649,0,0,0,0,-0.702572954152189,-1.02721033479338,-1.25499708283751,995000,6215000
662,0,0,0,0,-0.175980692554235,-0.335212297388147,-0.363405238895352,525000,6225000
663,0,0,0,0,-0.135473595508239,-0.371985765894355,0.164618347115177,535000,6225000
664,0,0,0,0,-0.175980692554235,-0.24674849123024,0.957923490084252,545000,6225000
665,0,0,0,0,-0.297501983692225,-0.232361108552338,1.25089172721997,555000,6225000
666,0,0,0,0,-0.419023274830214,-0.34638356426578,0.122503875094765,565000,6225000
667,0,0,0,0,-0.0949664984622425,-0.340022660266035,0.213491782256654,575000,6225000
668,0,0,0,0,0.10756898676774,-0.407799915324101,-0.476085920731454,585000,6225000
